Time,Local Time,CO2_1,CO2_2
1720737365.3884754,Fri Jul 12 00:36:05 2024,"10001
","None
"
1720737426.3817213,Fri Jul 12 00:37:06 2024,"10001
","10001
"
1720737485.9729786,Fri Jul 12 00:38:05 2024,"10001
","None
"
1720737545.7340546,Fri Jul 12 00:39:05 2024,"10001
","10001
"
1720737606.0389273,Fri Jul 12 00:40:06 2024,"10001
","None
"
1720737665.5882192,Fri Jul 12 00:41:05 2024,"10001
","10001
"
1720737726.1228077,Fri Jul 12 00:42:06 2024,"10001
","None
"
1720737785.9361727,Fri Jul 12 00:43:05 2024,"10001
","10001
"
1720737846.2085912,Fri Jul 12 00:44:06 2024,"10001
","None
"
1720737905.7984722,Fri Jul 12 00:45:05 2024,"10001
","10001
"
